,Date,Week_Day,Month,User_Activity,Food_Count,total_calories,total_carbs,total_fat,total_protein,total_sodium,total_sugar,total_fiber,goal_calories,goal_carbs,goal_fat,goal_protein,goal_sodium,goal_sugar,goal_fiber,diff_calories,diff_carbs,diff_fat,diff_protein,diff_sodium,diff_sugar,diff_fiber
0,2014-09-14,Sunday,September,56,164,73701.0,6196.0,2877.0,3379.0,58892.0,1915.0,499.0,100208.0,9058.0,3419.0,6330.0,68500.0,1858.0,1047.0,-26507.0,-2862.0,-542.0,-2951.0,-9608.0,57.0,-548.0
1,2014-09-15,Monday,September,280,909,405220.0,39757.0,15061.0,22073.0,357434.0,10789.0,2113.0,526095.0,52586.0,18085.0,33985.0,406900.0,11154.0,3874.0,-120875.0,-12829.0,-3024.0,-11912.0,-49466.0,-365.0,-1761.0
2,2014-09-16,Tuesday,September,279,924,400237.0,40230.0,14044.0,22207.0,337045.0,9516.0,2265.0,516591.0,52801.0,17608.0,32824.0,403500.0,11127.0,3857.0,-116354.0,-12571.0,-3564.0,-10617.0,-66455.0,-1611.0,-1592.0
3,2014-09-17,Wednesday,September,274,861,402535.0,39267.0,14585.0,21971.0,327624.0,9490.0,2246.0,510487.0,51505.0,17412.0,32747.0,387400.0,11141.0,3876.0,-107952.0,-12238.0,-2827.0,-10776.0,-59776.0,-1651.0,-1630.0
4,2014-09-18,Thursday,September,382,1342,541442.0,53949.0,19930.0,29552.0,467812.0,12474.0,3510.0,684614.0,68592.0,24019.0,43538.0,559100.0,14571.0,5478.0,-143172.0,-14643.0,-4089.0,-13986.0,-91288.0,-2097.0,-1968.0
5,2014-09-19,Friday,September,452,1531,654555.0,64833.0,24494.0,33613.0,584608.0,15000.0,3393.0,817110.0,83002.0,28545.0,51367.0,675800.0,17544.0,5746.0,-162555.0,-18169.0,-4051.0,-17754.0,-91192.0,-2544.0,-2353.0
6,2014-09-20,Saturday,September,515,1721,755748.0,73931.0,28529.0,35977.0,678359.0,15833.0,3722.0,933750.0,97757.0,31903.0,58491.0,773200.0,19925.0,7184.0,-178002.0,-23826.0,-3374.0,-22514.0,-94841.0,-4092.0,-3462.0
7,2014-09-21,Sunday,September,712,2381,1018968.0,98615.0,37775.0,49686.0,875129.0,21424.0,5413.0,1261374.0,130222.0,43495.0,80134.0,1046350.0,27156.0,9631.0,-242406.0,-31607.0,-5720.0,-30448.0,-171221.0,-5732.0,-4218.0
8,2014-09-22,Monday,September,1171,3809,1647607.0,168042.0,60571.0,90434.0,1466721.0,36356.0,9228.0,2124182.0,221202.0,72810.0,134723.0,1774700.0,44650.0,15486.0,-476575.0,-53160.0,-12239.0,-44289.0,-307979.0,-8294.0,-6258.0
9,2014-09-23,Tuesday,September,1373,4645,1950049.0,199245.0,71153.0,105370.0,1707723.0,43009.0,11240.0,2478067.0,260865.0,83725.0,157761.0,2070100.0,52100.0,18349.0,-528018.0,-61620.0,-12572.0,-52391.0,-362377.0,-9091.0,-7109.0
10,2014-09-24,Wednesday,September,1346,4583,1893859.0,193612.0,68180.0,99813.0,1638222.0,42021.0,10815.0,2427050.0,254191.0,82209.0,153662.0,2030000.0,51090.0,17651.0,-533191.0,-60579.0,-14029.0,-53849.0,-391778.0,-9069.0,-6836.0
11,2014-09-25,Thursday,September,1344,4562,1879626.0,192429.0,69073.0,99688.0,1639040.0,40566.0,10865.0,2416616.0,256829.0,81349.0,152834.0,2036200.0,55492.0,17611.0,-536990.0,-64400.0,-12276.0,-53146.0,-397160.0,-14926.0,-6746.0
12,2014-09-26,Friday,September,1334,4488,1877017.0,187470.0,67859.0,94445.0,1616357.0,39084.0,10005.0,2430266.0,254972.0,82930.0,152886.0,2022400.0,50983.0,18232.0,-553249.0,-67502.0,-15071.0,-58441.0,-406043.0,-11899.0,-8227.0
13,2014-09-27,Saturday,September,1298,4346,1877687.0,182879.0,70117.0,90003.0,1614373.0,38051.0,9391.0,2395324.0,248983.0,82612.0,151672.0,1905900.0,49970.0,18346.0,-517637.0,-66104.0,-12495.0,-61669.0,-291527.0,-11919.0,-8955.0
14,2014-09-28,Sunday,September,1370,4555,1912233.0,188887.0,73161.0,93811.0,1719977.0,38726.0,9517.0,2469497.0,256868.0,84494.0,157378.0,2052400.0,51206.0,18457.0,-557264.0,-67981.0,-11333.0,-63567.0,-332423.0,-12480.0,-8940.0
15,2014-09-29,Monday,September,1897,6253,2661358.0,274437.0,96835.0,142676.0,2359935.0,59298.0,15550.0,3412873.0,355928.0,116733.0,216339.0,2850150.0,72120.0,25296.0,-751515.0,-81491.0,-19898.0,-73663.0,-490215.0,-12822.0,-9746.0
16,2014-09-30,Tuesday,September,1934,6573,2734974.0,277707.0,99430.0,147134.0,2415452.0,61948.0,15923.0,3493231.0,366677.0,118463.0,220403.0,2904800.0,73842.0,25838.0,-758257.0,-88970.0,-19033.0,-73269.0,-489348.0,-11894.0,-9915.0
17,2014-10-01,Wednesday,October,1908,6473,2755888.0,278080.0,100109.0,147337.0,2479239.0,59836.0,15826.0,3460934.0,362458.0,116768.0,219843.0,2878200.0,72862.0,25633.0,-705046.0,-84378.0,-16659.0,-72506.0,-398961.0,-13026.0,-9807.0
18,2014-10-02,Thursday,October,1969,6626,2787793.0,282786.0,101051.0,148320.0,2483144.0,61917.0,16717.0,3536245.0,368446.0,119997.0,224618.0,2957700.0,75858.0,26712.0,-748452.0,-85660.0,-18946.0,-76298.0,-474556.0,-13941.0,-9995.0
19,2014-10-03,Friday,October,1973,6506,2751196.0,276627.0,99996.0,138331.0,2426428.0,58096.0,15112.0,3506152.0,365927.0,118663.0,222252.0,2983400.0,75623.0,25911.0,-754956.0,-89300.0,-18667.0,-83921.0,-556972.0,-17527.0,-10799.0
20,2014-10-04,Saturday,October,1833,6086,2675933.0,260003.0,101055.0,127085.0,2313186.0,53726.0,12971.0,3321442.0,349679.0,112075.0,208619.0,2768000.0,71016.0,24795.0,-645509.0,-89676.0,-11020.0,-81534.0,-454814.0,-17290.0,-11824.0
21,2014-10-05,Sunday,October,1862,6400,2661776.0,259801.0,102422.0,130054.0,2358840.0,51924.0,13054.0,3362202.0,349609.0,114611.0,212887.0,2802150.0,71657.0,25113.0,-700426.0,-89808.0,-12189.0,-82833.0,-443310.0,-19733.0,-12059.0
22,2014-10-06,Monday,October,2559,8600,3560514.0,363485.0,127998.0,190186.0,3170802.0,79255.0,21130.0,4603547.0,482063.0,155667.0,289349.0,3841650.0,98314.0,33900.0,-1043033.0,-118578.0,-27669.0,-99163.0,-670848.0,-19059.0,-12770.0
23,2014-10-07,Tuesday,October,2640,9146,3765774.0,385290.0,135486.0,200155.0,3360042.0,84497.0,22089.0,4743393.0,497654.0,159336.0,301250.0,3977150.0,99916.0,35111.0,-977619.0,-112364.0,-23850.0,-101095.0,-617108.0,-15419.0,-13022.0
24,2014-10-08,Wednesday,October,2594,9016,3692546.0,378723.0,134706.0,195294.0,3242038.0,81092.0,21714.0,4670537.0,489925.0,157812.0,293895.0,3910350.0,98499.0,34853.0,-977991.0,-111202.0,-23106.0,-98601.0,-668312.0,-17407.0,-13139.0
25,2014-10-09,Thursday,October,2633,9054,3731076.0,378507.0,137387.0,203945.0,3333462.0,81740.0,21484.0,4727142.0,496625.0,160096.0,297105.0,3964200.0,99488.0,35349.0,-996066.0,-118118.0,-22709.0,-93160.0,-630738.0,-17748.0,-13865.0
26,2014-10-10,Friday,October,2648,9000,3695900.0,371839.0,135231.0,185612.0,3325210.0,78259.0,20667.0,4733191.0,497735.0,159587.0,296296.0,3970650.0,98701.0,36002.0,-1037291.0,-125896.0,-24356.0,-110684.0,-645440.0,-20442.0,-15335.0
27,2014-10-11,Saturday,October,2462,8194,3526770.0,343104.0,129910.0,168254.0,2990297.0,69345.0,17069.0,4482135.0,469648.0,151167.0,282749.0,3650950.0,93773.0,32575.0,-955365.0,-126544.0,-21257.0,-114495.0,-660653.0,-24428.0,-15506.0
28,2014-10-12,Sunday,October,2471,8679,3573152.0,351625.0,132134.0,171357.0,3221864.0,74905.0,17388.0,4451881.0,467633.0,148867.0,280923.0,3756150.0,94207.0,32357.0,-878729.0,-116008.0,-16733.0,-109566.0,-534286.0,-19302.0,-14969.0
29,2014-10-13,Monday,October,3132,10369,4395557.0,450375.0,159530.0,234133.0,3865565.0,98833.0,26250.0,5624400.0,589968.0,188741.0,354284.0,4660800.0,118662.0,41284.0,-1228843.0,-139593.0,-29211.0,-120151.0,-795235.0,-19829.0,-15034.0
30,2014-10-14,Tuesday,October,3240,10933,4653858.0,479216.0,166998.0,247262.0,4244436.0,105996.0,27015.0,5878001.0,620132.0,196529.0,370205.0,4899550.0,125249.0,42668.0,-1224143.0,-140916.0,-29531.0,-122943.0,-655114.0,-19253.0,-15653.0
31,2014-10-15,Wednesday,October,3166,10700,4523186.0,462661.0,163077.0,239045.0,4059547.0,101590.0,26451.0,5719001.0,601603.0,190792.0,360832.0,4771900.0,121589.0,41789.0,-1195815.0,-138942.0,-27715.0,-121787.0,-712353.0,-19999.0,-15338.0
